                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.80535,                 1.0439,                 1.1362,                0.74279,                0.83424,                 0.8553,                0.58799,                 1.2247,                 1.6868,                 1.9333,             0.00041258,             0.00041258,             0.00041258
                      1,                0.85873,                0.61847,                 1.1578,                0.88851,                0.83694,                0.91081,                0.65387,                0.95925,                 1.1891,                 1.3452,             0.00082116,             0.00082116,             0.00082116
                      2,                0.85693,                0.58855,                 1.1641,                0.68112,                0.87916,                0.84117,                0.61273,                0.89838,                 1.4141,                 1.2342,              0.0012216,              0.0012216,              0.0012216
                      3,                0.84423,                0.57332,                 1.1486,                0.90466,                0.83939,                0.92102,                0.66304,                0.88049,                0.73579,                 1.2185,              0.0012134,              0.0012134,              0.0012134
                      4,                0.81735,                0.53041,                 1.1395,                0.90386,                0.88647,                0.94761,                0.72166,                0.80159,                0.56594,                 1.1342,              0.0012134,              0.0012134,              0.0012134
                      5,                0.78263,                 0.4986,                 1.1178,                0.94229,                0.91031,                 0.9503,                0.71299,                0.82512,                0.57711,                 1.1302,              0.0012013,              0.0012013,              0.0012013
                      6,                0.76076,                0.48025,                 1.1053,                0.97084,                0.92292,                0.95763,                0.72725,                0.83777,                0.52306,                 1.1345,              0.0011891,              0.0011891,              0.0011891
                      7,                0.74233,                0.45217,                 1.0891,                0.90912,                0.91802,                 0.9341,                0.69364,                0.80509,                0.52065,                  1.117,              0.0011769,              0.0011769,              0.0011769
                      8,                0.73028,                0.44545,                 1.0792,                0.96648,                0.91777,                0.96413,                0.74506,                 0.7339,                0.47608,                 1.0734,              0.0011647,              0.0011647,              0.0011647
                      9,                0.71561,                0.43468,                 1.0764,                0.96175,                0.92653,                0.95952,                0.75833,                 0.7044,                0.47343,                 1.0484,              0.0011525,              0.0011525,              0.0011525
                     10,                0.70538,                0.42992,                 1.0682,                0.97127,                0.93108,                0.95924,                0.76332,                0.73055,                0.43725,                 1.0628,              0.0011403,              0.0011403,              0.0011403
                     11,                0.69031,                0.41078,                  1.062,                0.98633,                0.94272,                0.97173,                0.77778,                0.68232,                0.39465,                 1.0472,              0.0011281,              0.0011281,              0.0011281
                     12,                0.68605,                0.40639,                  1.056,                0.98736,                0.92684,                0.96778,                0.78045,                 0.6583,                0.38979,                 1.0234,              0.0011159,              0.0011159,              0.0011159
                     13,                0.68249,                0.40628,                 1.0579,                0.95825,                0.93532,                0.96519,                0.77375,                0.66412,                0.40881,                 1.0185,              0.0011038,              0.0011038,              0.0011038
                     14,                0.67187,                0.40027,                 1.0522,                 0.9736,                0.93614,                0.97058,                0.77326,                0.70464,                0.42247,                 1.0562,              0.0010916,              0.0010916,              0.0010916
                     15,                0.65803,                0.38675,                  1.044,                0.95843,                0.95133,                0.96911,                0.77782,                0.65366,                0.37197,                 1.0152,              0.0010794,              0.0010794,              0.0010794
                     16,                0.65555,                0.38447,                 1.0424,                0.96626,                0.93303,                0.97732,                  0.788,                0.69253,                  0.399,                 1.0366,              0.0010672,              0.0010672,              0.0010672
                     17,                 0.6446,                0.37566,                 1.0411,                0.97654,                0.94395,                0.97104,                0.80382,                0.63752,                0.37009,                 0.9989,               0.001055,               0.001055,               0.001055
                     18,                0.63508,                0.36785,                 1.0297,                0.97308,                0.95548,                0.97402,                0.78948,                0.64263,                0.35879,                  0.988,              0.0010428,              0.0010428,              0.0010428
                     19,                0.63802,                0.37086,                 1.0349,                0.97039,                0.93288,                0.96366,                0.78896,                0.62947,                0.35045,                 1.0104,              0.0010306,              0.0010306,              0.0010306
                     20,                 0.6282,                0.36933,                 1.0314,                0.97722,                0.95524,                0.98004,                0.80073,                 0.6435,                0.35684,                 1.0093,              0.0010184,              0.0010184,              0.0010184
                     21,                0.63188,                0.36636,                  1.029,                0.96923,                0.94364,                0.96967,                0.78857,                 0.6396,                 0.3626,                0.99995,              0.0010062,              0.0010062,              0.0010062
                     22,                0.62338,                0.36062,                  1.028,                0.97765,                0.95639,                0.97954,                0.79073,                0.65989,                0.36491,                  1.008,             0.00099406,             0.00099406,             0.00099406
                     23,                 0.6114,                0.35905,                 1.0195,                0.98056,                0.94712,                0.97205,                0.79377,                0.64157,                0.34562,                 0.9992,             0.00098187,             0.00098187,             0.00098187
                     24,                0.60354,                0.34688,                 1.0191,                0.97566,                0.94949,                0.98158,                0.80494,                 0.6272,                0.35276,                0.99206,             0.00096969,             0.00096969,             0.00096969
                     25,                0.59823,                0.34671,                 1.0117,                0.97776,                0.94768,                0.97169,                0.79882,                0.63365,                0.34308,                0.99419,              0.0009575,              0.0009575,              0.0009575
                     26,                 0.5872,                0.33893,                 1.0095,                0.97557,                0.94381,                0.97598,                0.80455,                0.62911,                 0.3469,                0.99938,             0.00094531,             0.00094531,             0.00094531
                     27,                0.59174,                0.34478,                   1.01,                0.97303,                0.95916,                0.97936,                0.80881,                 0.6022,                0.32998,                0.97866,             0.00093313,             0.00093313,             0.00093313
                     28,                0.59021,                0.34306,                 1.0112,                0.98763,                0.95637,                0.97707,                0.80692,                0.59134,                0.32359,                0.97309,             0.00092094,             0.00092094,             0.00092094
                     29,                0.58983,                0.33854,                 1.0069,                0.97273,                0.94596,                0.97994,                0.81206,                0.60026,                 0.3247,                0.96533,             0.00090875,             0.00090875,             0.00090875
                     30,                0.57539,                0.33244,                0.99669,                 0.9877,                 0.9399,                0.97186,                0.80433,                0.62127,                0.33898,                0.99027,             0.00089656,             0.00089656,             0.00089656
                     31,                0.58136,                0.33442,                 1.0054,                0.96825,                0.93406,                0.97443,                0.80261,                0.60087,                 0.3421,                0.98419,             0.00088438,             0.00088438,             0.00088438
                     32,                0.56039,                0.32219,                0.99149,                0.97513,                0.94247,                0.97346,                0.82151,                0.57047,                0.31332,                0.95516,             0.00087219,             0.00087219,             0.00087219
                     33,                0.57144,                0.32256,                 0.9973,                0.98682,                0.95456,                0.97956,                0.81212,                0.60639,                0.31559,                0.97671,                0.00086,                0.00086,                0.00086
                     34,                  0.566,                 0.3225,                 0.9971,                0.96341,                0.93319,                0.96316,                0.80599,                0.61032,                0.35207,                0.97613,             0.00084781,             0.00084781,             0.00084781
                     35,                0.56609,                 0.3184,                0.99548,                0.98227,                0.95637,                0.98084,                 0.8231,                0.58015,                0.31887,                 0.9652,             0.00083562,             0.00083562,             0.00083562
                     36,                0.55454,                0.32151,                0.99291,                0.98715,                0.95757,                0.98026,                0.81383,                0.59603,                0.32572,                0.97571,             0.00082344,             0.00082344,             0.00082344
                     37,                0.56086,                0.31499,                0.99107,                 0.9866,                0.94836,                0.98315,                0.82614,                0.60426,                0.31378,                0.97721,             0.00081125,             0.00081125,             0.00081125
                     38,                0.55517,                0.31438,                0.99244,                0.98806,                0.95166,                 0.9798,                0.81328,                0.59063,                0.31432,                0.98265,             0.00079906,             0.00079906,             0.00079906
                     39,                0.54109,                0.30798,                0.98063,                0.98685,                0.95474,                0.97721,                0.82437,                 0.5908,                0.31616,                0.97547,             0.00078688,             0.00078688,             0.00078688
                     40,                 0.5427,                0.31067,                0.98452,                0.97292,                0.94681,                0.98193,                0.82412,                0.58105,                0.30883,                0.96629,             0.00077469,             0.00077469,             0.00077469
                     41,                0.53417,                0.29913,                0.98168,                0.97437,                0.95332,                0.97998,                 0.8186,                0.58134,                0.30556,                0.96592,              0.0007625,              0.0007625,              0.0007625
                     42,                0.53406,                0.30349,                0.98084,                 0.9821,                0.95533,                0.97892,                0.82922,                0.56708,                0.30075,                0.95819,             0.00075031,             0.00075031,             0.00075031
                     43,                0.53545,                0.30069,                0.97985,                0.98309,                0.94935,                0.98086,                0.82884,                0.58024,                 0.3153,                0.97217,             0.00073813,             0.00073813,             0.00073813
                     44,                 0.5284,                0.29634,                 0.9765,                0.98646,                0.95364,                0.97782,                0.82952,                0.58144,                0.30913,                0.95882,             0.00072594,             0.00072594,             0.00072594
                     45,                0.52575,                0.29465,                0.97587,                0.97929,                0.95724,                0.98155,                0.83323,                0.55471,                0.29879,                0.95534,             0.00071375,             0.00071375,             0.00071375
                     46,                0.51471,                0.28376,                0.96992,                0.99099,                0.95385,                 0.9841,                0.83301,                 0.5562,                0.29125,                0.94868,             0.00070156,             0.00070156,             0.00070156
                     47,                0.51337,                0.29146,                0.96682,                0.98527,                0.95426,                0.98237,                0.84258,                0.55221,                0.29191,                0.94932,             0.00068937,             0.00068937,             0.00068937
                     48,                0.52163,                0.28797,                0.97295,                0.97815,                0.94998,                0.97972,                0.83309,                0.54628,                0.29488,                0.95233,             0.00067719,             0.00067719,             0.00067719
                     49,                0.50731,                0.28197,                0.96699,                0.98919,                 0.9567,                0.98227,                0.83582,                 0.5546,                0.28454,                0.94608,               0.000665,               0.000665,               0.000665
                     50,                0.50815,                0.28099,                0.96871,                0.98746,                 0.9467,                0.98243,                0.83474,                0.55995,                0.29225,                0.95369,             0.00065281,             0.00065281,             0.00065281
                     51,                0.50602,                0.28049,                0.96829,                0.98717,                0.96009,                0.98131,                0.82992,                0.57794,                0.29367,                0.96602,             0.00064062,             0.00064062,             0.00064062
                     52,                0.50364,                0.27994,                 0.9628,                0.96361,                0.95055,                0.97872,                0.83437,                0.54993,                 0.3017,                0.94371,             0.00062844,             0.00062844,             0.00062844
                     53,                0.50169,                0.28234,                0.96309,                0.97744,                0.95648,                0.98151,                0.82934,                 0.5602,                 0.2902,                 0.9518,             0.00061625,             0.00061625,             0.00061625
                     54,                0.49527,                0.27637,                0.96043,                0.97856,                0.95093,                0.97997,                0.83095,                0.56404,                0.29568,                0.95783,             0.00060406,             0.00060406,             0.00060406
                     55,                0.49603,                0.27757,                0.96102,                0.98515,                0.96058,                0.98212,                0.83067,                0.55447,                0.28703,                0.95106,             0.00059187,             0.00059187,             0.00059187
                     56,                0.49171,                0.27361,                0.96297,                0.99203,                0.95598,                 0.9786,                 0.8353,                0.54103,                0.27725,                0.93799,             0.00057969,             0.00057969,             0.00057969
                     57,                0.48656,                0.27272,                 0.9582,                0.98891,                 0.9565,                0.97993,                 0.8319,                0.55789,                0.27949,                0.94241,              0.0005675,              0.0005675,              0.0005675
                     58,                0.49167,                 0.2731,                0.95712,                0.98816,                0.95111,                0.98297,                0.83756,                0.54203,                0.27981,                0.93663,             0.00055531,             0.00055531,             0.00055531
                     59,                0.47611,                0.26317,                0.95166,                0.98834,                0.95862,                0.98351,                0.83496,                0.55297,                 0.2751,                 0.9456,             0.00054313,             0.00054313,             0.00054313
                     60,                0.47858,                0.26736,                0.95772,                0.98262,                0.94789,                0.97534,                0.83442,                0.54268,                0.28722,                0.93578,             0.00053094,             0.00053094,             0.00053094
                     61,                0.47474,                0.26209,                0.95266,                0.98615,                 0.9587,                0.98133,                0.84149,                0.54558,                0.28231,                0.93999,             0.00051875,             0.00051875,             0.00051875
                     62,                0.47673,                 0.2595,                0.95316,                0.99187,                0.95482,                0.97727,                0.83312,                0.55528,                0.27261,                 0.9411,             0.00050656,             0.00050656,             0.00050656
                     63,                0.47226,                0.26008,                 0.9521,                0.98959,                0.95479,                0.98298,                0.83825,                0.54244,                0.27573,                0.94124,             0.00049438,             0.00049438,             0.00049438
                     64,                0.46719,                0.25424,                0.94815,                0.98948,                0.95322,                0.98289,                0.84286,                0.54015,                0.27041,                0.93638,             0.00048219,             0.00048219,             0.00048219
                     65,                 0.4595,                0.25573,                0.94078,                0.99007,                0.95829,                0.98351,                0.83988,                 0.5486,                0.27767,                0.94952,                0.00047,                0.00047,                0.00047
                     66,                 0.4603,                0.25474,                0.94368,                0.98525,                0.96177,                0.98423,                0.84711,                0.54492,                0.27115,                0.94081,             0.00045781,             0.00045781,             0.00045781
                     67,                 0.4528,                0.25668,                0.94228,                0.99205,                0.95564,                0.98471,                0.84791,                0.53816,                0.27029,                0.94208,             0.00044563,             0.00044563,             0.00044563
                     68,                0.44927,                0.25067,                0.94029,                0.98152,                0.95977,                0.98203,                  0.843,                0.54091,                0.27105,                0.93526,             0.00043344,             0.00043344,             0.00043344
                     69,                0.45576,                0.24907,                0.94774,                0.98794,                0.95059,                0.97954,                0.84075,                0.54333,                0.27996,                0.93936,             0.00042125,             0.00042125,             0.00042125
                     70,                0.45167,                 0.2487,                0.93783,                0.99138,                 0.9579,                0.98544,                0.84482,                0.53517,                 0.2672,                0.93705,             0.00040906,             0.00040906,             0.00040906
                     71,                0.44355,                0.24691,                0.93947,                0.98911,                0.95548,                0.98351,                0.84442,                0.53066,                 0.2648,                0.93384,             0.00039688,             0.00039688,             0.00039688
                     72,                0.44372,                0.24315,                0.94064,                0.99125,                0.95688,                0.98404,                0.84346,                0.53498,                0.26132,                0.93456,             0.00038469,             0.00038469,             0.00038469
                     73,                0.44344,                0.24701,                0.93895,                0.98716,                0.95896,                0.98329,                0.84196,                0.53751,                0.26992,                  0.936,              0.0003725,              0.0003725,              0.0003725
                     74,                0.43953,                  0.243,                0.93847,                0.99412,                0.95538,                0.97738,                0.83957,                0.54363,                0.27215,                 0.9413,             0.00036031,             0.00036031,             0.00036031
                     75,                0.43175,                0.23839,                 0.9379,                  0.982,                0.95877,                0.97889,                0.83964,                0.53034,                0.26307,                0.93567,             0.00034813,             0.00034813,             0.00034813
                     76,                0.43306,                0.24064,                0.93518,                0.99442,                0.95869,                0.97952,                0.84422,                 0.5349,                0.26197,                0.93565,             0.00033594,             0.00033594,             0.00033594
                     77,                0.42924,                0.23491,                0.93089,                0.98889,                0.95665,                0.97984,                0.84229,                0.54346,                0.26382,                0.94193,             0.00032375,             0.00032375,             0.00032375
                     78,                0.42314,                0.23226,                0.93144,                0.98752,                 0.9604,                0.98039,                0.84312,                0.53439,                0.25847,                0.94077,             0.00031156,             0.00031156,             0.00031156
                     79,                0.42814,                0.23367,                 0.9351,                0.98718,                0.95768,                0.97913,                0.83988,                0.53065,                0.26357,                0.94069,             0.00029937,             0.00029937,             0.00029937
                     80,                0.42144,                0.23056,                0.92952,                0.99138,                0.95808,                0.97975,                0.84353,                0.53192,                0.25801,                  0.934,             0.00028719,             0.00028719,             0.00028719
                     81,                0.41589,                0.22961,                0.92522,                0.99118,                0.95836,                0.98068,                0.84056,                0.53314,                0.25666,                0.94043,               0.000275,               0.000275,               0.000275
                     82,                0.41391,                0.22925,                0.92685,                0.98522,                0.95858,                0.97987,                0.83918,                0.53479,                0.25749,                0.93713,             0.00026281,             0.00026281,             0.00026281
                     83,                0.41546,                0.22599,                0.92578,                 0.9878,                0.95586,                0.98073,                0.83958,                0.53373,                0.26009,                0.93618,             0.00025063,             0.00025063,             0.00025063
                     84,                0.40651,                0.22264,                0.92463,                0.98707,                0.95865,                0.98109,                0.84366,                0.53256,                0.25722,                0.93876,             0.00023844,             0.00023844,             0.00023844
                     85,                0.40353,                0.22153,                0.92306,                0.99259,                0.95478,                0.98045,                0.84457,                0.54041,                0.25713,                0.94138,             0.00022625,             0.00022625,             0.00022625
                     86,                 0.4029,                0.22036,                0.92133,                0.99402,                0.95723,                0.98108,                0.84303,                0.53545,                0.25354,                0.94086,             0.00021406,             0.00021406,             0.00021406
                     87,                0.40393,                0.21913,                0.92365,                0.99013,                0.95754,                0.98127,                0.84111,                0.53684,                0.25218,                 0.9399,             0.00020188,             0.00020188,             0.00020188
                     88,                  0.396,                0.21529,                0.91619,                0.99306,                0.95738,                0.98055,                0.84136,                0.53699,                 0.2561,                0.93834,             0.00018969,             0.00018969,             0.00018969
                     89,                0.40106,                0.21774,                0.92241,                0.99395,                0.95825,                0.98056,                0.83712,                0.53041,                0.25114,                0.93889,              0.0001775,              0.0001775,              0.0001775
                     90,                0.38479,                0.20617,                0.87736,                0.98885,                0.95889,                0.98286,                0.83623,                0.54176,                0.25877,                0.94752,             0.00016531,             0.00016531,             0.00016531
                     91,                0.37355,                0.19634,                 0.8779,                0.99089,                0.95509,                0.97906,                0.82907,                0.53965,                0.26272,                0.94232,             0.00015312,             0.00015312,             0.00015312
                     92,                 0.3664,                0.19243,                0.87135,                0.99353,                0.95411,                0.97936,                0.83862,                0.53569,                0.25994,                0.93863,             0.00014094,             0.00014094,             0.00014094
                     93,                0.36347,                0.19142,                0.87084,                0.98517,                0.96057,                0.98016,                 0.8432,                0.52997,                0.25528,                0.93735,             0.00012875,             0.00012875,             0.00012875
                     94,                0.35692,                0.18921,                0.87095,                0.99153,                0.95624,                0.98019,                0.83855,                0.52565,                0.25506,                 0.9319,             0.00011656,             0.00011656,             0.00011656
                     95,                0.35633,                0.18686,                0.86932,                0.99076,                0.95949,                0.97922,                0.83923,                0.52399,                 0.2503,                0.93306,             0.00010438,             0.00010438,             0.00010438
                     96,                0.34978,                 0.1852,                0.86643,                0.98903,                0.95808,                0.98031,                 0.8434,                0.52937,                0.25452,                0.93811,             9.2188e-05,             9.2188e-05,             9.2188e-05
                     97,                0.34692,                0.18296,                 0.8589,                 0.9908,                0.95899,                0.98069,                 0.8429,                 0.5305,                0.25531,                0.94201,                  8e-05,                  8e-05,                  8e-05
                     98,                0.34267,                0.18114,                0.86649,                0.99269,                0.95539,                0.97994,                0.84359,                0.53185,                0.25679,                0.94169,             6.7813e-05,             6.7813e-05,             6.7813e-05
                     99,                0.33853,                0.17814,                0.86132,                0.99212,                0.95502,                0.97986,                0.84461,                0.52795,                0.25418,                0.94009,             5.5625e-05,             5.5625e-05,             5.5625e-05
